Case #1: Impossible
13 16 92718
11 3 95176
5 8 95828
18 3 104004
1 7 107325
10 1 110648
5 17 112641
7 15 115025
11 8 115234
1 14 116031
7 13 116168
1 3 120656
15 17 126415
15 18 126444
10 16 128061
15 3 128356
3 13 129499
11 10 136128
3 12 140021
17 9 141178
11 14 141511
1 6 146578
8 15 148414
7 12 153352
14 9 155087
10 5 155534
7 4 159772
15 12 162461
3 9 170117
16 17 170954
12 17 171274
6 11 172058
3 4 173103
17 7 175080
16 8 175497
5 13 178607
17 14 183786
12 14 185183
9 6 185634
6 5 191464
9 15 192557
11 12 195641
11 13 198013
6 15 205238
18 17 207291
8 17 208469
7 16 208886
1 9 208933
13 4 209162
6 17 214333
5 12 215047
8 9 216837
5 2 217065
10 13 220779
12 1 221121
18 14 221200
5 4 222211
16 3 222217
1 2 223139
13 1 223493
9 11 225737
10 14 226679
15 2 230839
15 13 231193
13 18 233503
3 14 236687
4 11 241617
5 9 245143
18 10 250184
18 6 251747
6 7 253903
2 8 254628
14 8 256745
6 10 257226
16 11 264189
4 1 267097
6 3 267234
13 12 269520
5 16 271325
18 4 277107
2 7 279504
6 8 287292
3 2 292835
16 15 297369
13 9 299616
14 16 310705
16 9 312132
12 4 313124
17 4 334852
16 6 341252
2 18 357283
6 2 369717
2 4 381011
14 4 383128
Case #194: 9
16 10 83318
14 5 176415
14 13 201402
16 5 348021
15 9 547764
15 2 846767
9 8 912021
11 5 977358
11 6 992155
Case #195: 39
13 8 75441
6 21 169279
21 5 185707
15 23 192410
16 11 276489
2 18 283702
6 7 360595
20 12 399164
9 24 425955
15 18 429198
18 24 435200
22 15 498904
12 22 501486
11 21 519621
7 21 529874
26 24 539281
10 2 598790
22 20 604494
25 14 628802
12 4 661351
12 9 668880
9 14 675899
26 14 686713
14 19 707794
16 21 708359
23 8 709335
11 9 716199
15 7 717268
8 6 744240
15 10 744286
3 20 776283
5 19 781795
4 6 800955
9 20 816535
3 22 853966
19 9 871801
14 7 889938
1 2 914118
19 26 920062
Case #196: 10
7 5 1698
2 1 187578
6 5 246987
7 6 248685
4 2 422266
1 3 445385
8 3 534626
4 7 540510
5 1 549135
6 2 668936
Case #197: 62
6 7 23799
1 4 55975
7 13 59733
9 5 71557
12 5 86018
6 1 104368
5 2 125539
7 12 127041
1 7 128167
4 13 148685
6 5 149258
6 10 153675
9 12 157575
10 1 174075
7 10 177474
5 14 186749
13 12 186774
2 9 197096
12 2 211557
6 9 220815
9 10 221217
13 5 232790
4 9 233555
13 10 237207
7 14 237866
7 9 244614
4 12 248016
9 14 258306
6 14 261665
12 14 272767
5 10 280098
7 8 285370
4 2 287537
11 12 290712
10 12 304515
8 9 305810
6 8 309169
14 2 312288
8 12 320271
6 11 336975
11 1 338738
8 13 345103
4 14 348747
13 2 358329
11 7 360774
14 1 366033
11 5 376730
8 4 396251
2 10 405637
10 14 415340
13 11 420507
10 8 462844
3 7 474164
3 8 475677
3 6 497963
3 14 506153
3 11 533857
14 11 563479
3 1 602331
3 10 651638
4 3 658306
2 3 772760
Case #198: 208
9 33 2578
2 9 11684
39 19 28248
5 23 29822
33 3 32447
3 15 35398
2 38 36498
3 17 36844
7 39 43144
4 2 43200
1 28 49216
31 9 52360
7 2 52872
15 31 57889
3 38 59839
5 25 60287
38 8 61170
14 26 62721
10 19 62779
20 3 64035
31 2 64044
3 1 64732
4 38 67388
14 32 68619
38 1 69847
38 31 70734
7 3 76213
11 2 78919
29 4 82777
1 7 83265
9 6 87556
21 10 87670
39 3 89565
6 33 90134
15 6 93085
4 21 93757
31 39 97504
21 39 98681
23 35 99108
8 31 99156
2 6 99240
10 37 103549
11 10 103722
4 27 105963
2 5 105986
35 33 106140
7 35 106186
22 39 106196
1 2 106285
1 11 109312
35 2 109344
9 27 110676
15 27 111049
15 25 114634
23 29 115741
34 14 117436
38 34 118755
25 2 118973
28 38 119063
34 19 120233
3 8 121009
35 38 122560
35 37 124740
2 29 125977
18 26 126144
34 30 127921
35 5 128930
12 19 130041
25 11 131111
37 39 132253
33 37 132875
3 22 134889
3 5 135229
9 26 135435
15 37 135826
1 31 137625
21 6 138739
25 38 139075
17 11 139104
29 38 139193
35 24 141010
32 9 141333
27 10 142007
30 38 143250
4 26 143268
23 36 144329
29 5 145563
15 32 146862
2 26 147119
27 31 148484
7 22 149340
27 21 149661
5 21 152408
17 26 153440
23 14 157437
24 29 157643
17 6 159425
25 26 159733
31 35 160546
6 23 163094
25 21 165444
33 13 165762
15 22 166265
19 26 166883
26 37 167225
5 27 168749
30 9 169129
1 37 169743
8 26 170055
3 26 170460
30 33 170642
37 5 170846
7 32 171455
2 22 172420
37 4 172871
35 17 175431
20 36 175862
8 28 177277
17 27 177389
12 31 177887
28 20 177983
34 3 178594
10 34 180056
1 5 180136
9 36 185048
23 37 185950
30 20 186222
14 17 186451
33 36 187626
31 26 187795
25 14 187902
35 1 189451
34 21 190666
12 17 192240
28 25 193184
22 23 194143
26 39 195131
3 30 195875
18 4 196894
13 3 196980
28 23 197167
20 24 197916
6 27 198232
34 27 199461
29 13 200076
6 14 200599
33 14 200734
25 13 202528
31 22 203700
8 30 204420
21 22 204877
6 30 211084
24 25 213117
31 30 213984
39 24 218998
39 13 222880
6 26 222991
6 37 223009
30 27 223956
7 14 224486
23 18 224652
14 19 229604
37 14 229946
15 18 233939
12 25 234632
22 6 235099
21 36 236231
28 6 236311
22 37 236976
20 34 242629
32 13 243518
16 38 244736
6 18 245370
36 1 247929
12 26 250064
38 18 253310
8 13 254324
5 18 254474
34 22 254677
16 1 255131
39 14 257852
22 36 260269
35 30 265810
24 22 268770
3 18 269337
5 24 269940
13 14 274056
2 16 281234
31 18 291296
12 24 292201
14 27 296364
22 26 301327
27 18 302857
8 16 302950
16 28 304347
3 16 304575
24 26 307265
28 13 310928
34 13 311909
22 13 328945
16 17 341419
37 16 347263
13 18 347459
29 16 352770
14 24 357176
18 12 359839
16 20 368610
16 30 387986
Case #199: Impossible
Case #200: 300
6 3 2866
3 10 3807
5 2 4149
40 14 5195
8 3 5229
20 6 8182
4 23 13943
19 10 17053
5 20 17194
9 3 17204
19 20 18562
8 4 19124
24 10 20217
11 19 20462
19 3 20860
20 2 21343
31 15 21467
6 4 21487
8 24 21639
6 5 22358
8 9 22433
11 2 23243
19 6 23726
14 6 24254
3 4 24353
8 5 24721
31 24 25875
6 2 26507
40 8 27086
14 3 27120
34 3 28112
4 10 28160
3 26 28411
36 16 28525
4 20 29669
10 14 30927
6 34 30978
3 22 33024
23 8 33067
20 34 33428
6 23 35430
6 22 35890
40 10 36122
38 39 36150
14 26 36903
19 24 37270
19 9 38064
20 11 39024
4 24 40763
26 40 42098
37 4 44419
24 26 44821
34 9 45316
36 40 45591
11 8 46551
31 8 47514
20 31 47601
14 19 47980
2 4 47994
19 34 48972
19 26 49271
40 9 49519
40 37 52381
26 23 53613
9 23 55500
34 26 56523
23 5 57788
15 34 59044
19 23 59156
32 2 60131
34 40 60427
2 23 61937
3 36 61982
12 9 62254
32 19 62912
2 31 65926
9 42 66860
11 14 68442
28 33 69065
26 11 69733
22 23 71320
27 22 76377
27 3 77761
27 6 80627
28 40 81017
6 39 82196
6 12 82324
5 17 82489
11 31 83607
17 19 83857
22 39 84334
12 8 84687
3 39 85062
9 37 85976
33 19 86589
6 32 86638
16 6 87641
15 4 88105
32 8 89001
29 4 89141
42 8 89293
2 33 89370
42 20 89380
30 3 89385
28 37 89588
19 37 89632
34 36 90094
20 39 90378
16 3 90507
14 15 90872
29 14 91908
8 28 92179
39 40 93021
30 10 93192
20 16 95823
3 28 97408
10 17 98174
27 19 98621
26 38 98969
20 17 99683
37 22 101796
3 17 101981
15 23 102048
27 4 102114
33 20 102415
28 20 102724
11 36 103304
12 4 103811
13 3 104371
15 27 104575
19 42 104924
24 38 105596
25 9 105975
14 30 106047
27 26 106172
11 33 107051
34 12 107570
16 9 107711
26 12 107869
16 5 109999
38 19 110046
11 37 110094
6 29 110628
32 14 110892
19 16 111367
32 26 112183
26 42 112475
30 2 113026
39 34 113174
29 42 113245
23 27 116057
8 25 116615
5 28 116900
10 29 117301
9 7 117418
34 30 117497
12 23 117754
30 26 117796
40 13 118058
24 17 118391
29 20 118810
27 11 119083
9 17 119185
22 38 120484
11 12 120780
2 28 121049
42 15 121668
33 9 121917
23 32 122068
22 30 122409
5 25 123264
13 5 123863
25 19 124632
19 13 125231
15 36 125734
4 17 126334
3 7 126362
36 29 126770
7 2 127900
23 33 128177
41 33 129100
7 6 129228
24 29 129904
17 34 130093
38 11 130508
29 9 130698
31 38 131471
7 20 131678
16 11 131829
7 5 132049
15 37 132524
40 33 132914
41 4 133090
7 22 133238
26 18 137132
38 28 137888
34 25 139498
36 27 139743
40 7 142286
1 28 143184
40 25 143701
31 17 144266
25 11 145094
1 24 146499
22 29 146518
13 31 146656
17 32 146769
14 7 147481
38 15 148025
4 7 150248
19 1 150949
1 2 153730
15 16 154259
4 1 154442
41 6 154577
15 33 154660
29 16 155295
34 1 158201
26 1 158500
32 27 161533
36 33 162581
20 41 162759
28 25 163633
3 18 165543
33 42 166224
16 39 167137
33 17 167710
32 42 167836
27 16 168268
18 8 170772
11 1 171411
31 1 172374
26 41 172760
1 27 173442
42 30 173449
14 18 174035
16 32 174279
39 25 174489
41 9 174647
38 13 174929
12 28 176866
29 15 177246
41 19 178303
13 27 182132
18 9 182747
18 19 186403
37 18 186427
17 39 187043
23 18 190745
12 29 192952
3 35 193899
37 7 194667
32 29 197266
16 41 199244
15 18 202386
17 25 205753
11 35 206836
11 18 206865
21 20 208400
33 25 208485
33 13 209084
24 35 210309
33 1 212249
13 18 213092
17 7 214538
19 35 214759
35 40 215756
16 7 216402
2 35 217540
1 38 217549
21 14 219746
21 9 220288
41 15 221195
23 35 221737
7 1 230303
21 34 231196
1 17 232070
41 12 236901
21 31 245369
18 32 249315
28 18 249857
37 35 252213
21 36 254608
21 37 261398
15 21 266836
33 18 270256
35 27 271660
30 35 272826
35 39 273229
35 12 273357
25 18 276929
35 42 277963
21 27 280845
30 21 282011
21 16 283133
18 1 295632
35 25 305285
1 35 323988
21 18 368627
35 21 386525
Case #201: 7
12 33 188993
31 13 354584
27 31 390100
32 34 403754
22 37 513026
44 45 606555
22 16 805035
Case #202: 42
2 11 61106
6 5 78665
4 12 118263
13 5 124058
10 2 128301
14 5 155283
11 4 164416
14 6 233948
12 8 268206
5 11 269815
13 14 279341
13 11 282952
13 12 286237
3 10 287699
9 13 288535
8 11 314359
5 12 315968
6 12 331630
2 13 344058
10 6 352672
8 5 366791
3 4 384920
6 2 389451
7 9 401588
4 13 404500
14 11 411069
7 12 412425
3 6 424513
14 2 431020
11 1 436133
12 14 457222
11 9 459791
9 10 478232
2 1 497239
5 7 513055
8 14 522074
13 1 532568
14 9 567876
9 3 568556
1 3 656637
1 8 663727
7 3 679082
Case #203: 67
14 12 18102
23 17 29941
38 27 33685
2 22 59521
14 2 60771
31 3 78354
40 26 86577
41 27 168032
13 9 197345
1 27 199335
1 12 202440
35 8 229097
32 36 233701
1 5 257202
17 4 281412
19 2 290176
19 13 296961
9 33 305699
33 4 309473
4 14 309543
4 23 311353
9 32 336232
17 33 340475
24 17 349837
17 36 353149
3 27 357390
1 18 362928
34 4 364023
2 33 374684
11 9 382069
40 22 384705
25 12 398459
11 14 426031
9 21 435566
7 32 473228
29 7 485059
5 34 496020
17 26 496594
6 22 522099
32 11 524508
5 36 524983
23 6 526728
19 25 545423
39 9 545805
28 32 553733
37 36 557605
20 8 569102
17 39 580581
36 29 587492
14 28 603551
12 39 626814
24 4 631249
20 13 644229
29 33 672579
16 12 673158
21 18 675489
40 39 676180
26 9 700717
20 34 738476
37 28 740031
36 26 799874
7 20 826742
26 7 837713
29 6 841204
30 18 873641
25 6 905275
29 25 994812
Case #204: Impossible
Case #205: 88
17 2 9822
5 10 28051
8 10 33638
3 5 33746
14 17 37527
9 13 90457
19 11 91799
20 12 93581
13 12 97387
20 14 100319
18 12 112405
4 3 114650
20 3 114704
11 7 116540
11 8 116905
6 17 120103
1 13 133988
14 5 145445
2 12 147059
15 8 148399
1 18 149006
8 17 149337
16 1 150639
14 7 150667
1 14 151311
3 2 152552
1 11 155823
2 10 158247
11 4 160013
19 10 175066
13 10 184729
6 3 184925
12 10 186025
13 3 190424
7 2 191520
12 3 191720
9 7 192652
1 5 194575
20 19 198154
1 8 200162
18 20 205986
20 16 207619
19 7 208339
19 8 208704
13 18 209792
12 19 211021
18 10 211952
13 2 213421
13 11 216609
18 3 217647
4 12 218032
8 6 219930
15 14 220765
6 4 221639
17 9 221911
1 10 222626
15 4 223716
20 15 223770
9 1 224445
16 18 226443
11 17 226798
3 1 228321
2 11 230124
12 7 230688
2 15 231060
9 3 231620
18 11 231627
16 11 233260
18 9 235210
19 15 237178
18 5 240003
15 17 240882
13 14 241126
9 5 247135
4 17 250801
18 2 259464
19 17 260946
2 16 261097
11 6 262497
9 11 276983
19 14 281070
13 15 299493
14 18 300317
16 9 301882
16 14 301950
15 18 326713
9 6 335518
16 6 371378
Case #206: 405
29 37 2317
4 14 4689
29 32 6325
30 19 6654
19 4 7381
1 9 9974
30 9 10606
9 4 11333
34 29 13043
1 19 13926
14 9 14568
27 5 15287
34 37 15360
32 34 19368
40 30 19801
1 30 20580
37 13 21274
1 4 21307
34 19 24732
9 37 26324
16 36 26339
37 4 29616
29 38 29629
37 19 30276
34 30 31386
34 4 32113
23 36 32179
29 30 32660
18 20 33106
1 29 33981
37 14 34305
34 14 35348
29 14 36622
34 13 36634
30 27 38430
1 34 38658
8 30 39507
8 4 40234
18 29 41680
14 27 42392
14 8 43469
13 30 43601
17 40 45537
9 13 47598
9 8 47774
18 32 48005
38 4 48699
12 30 49974
16 12 50346
34 40 51187
38 14 51934
26 15 53321
5 30 53717
14 12 53936
4 5 54444
12 7 55649
12 23 56186
1 13 57572
14 5 57679
24 1 57858
40 27 58231
12 9 58241
40 8 59308
17 14 61376
30 26 61793
15 27 61941
26 4 62520
10 20 62556
32 23 62812
40 13 63402
27 32 64765
15 12 65140
18 13 65271
30 17 65338
14 26 65755
8 32 65842
8 7 66116
5 21 66705
7 26 67468
40 38 67773
29 27 68107
12 1 68215
8 34 68554
40 12 69775
34 27 69816
37 8 69850
27 18 70047
9 26 70060
29 10 71130
38 18 71309
19 24 71784
10 37 73447
40 5 73518
4 18 73613
5 1 74297
30 18 74340
26 10 74665
36 4 74708
18 1 75661
32 12 76309
10 32 77455
36 14 77943
36 19 78296
21 33 78349
24 30 78438
22 1 78885
34 12 79021
24 4 79165
12 25 79202
16 31 79462
22 30 79517
4 10 79754
23 1 79979
1 26 80034
23 13 80078
4 22 80244
18 3 80348
24 37 80491
23 30 80611
20 32 81111
4 23 81338
40 26 81594
21 27 81992
13 27 82031
12 29 82248
14 24 82400
14 10 82989
8 13 83108
5 29 83394
24 15 83477
14 22 83479
15 20 83900
5 37 84060
14 23 84573
38 8 85140
19 10 85681
1 17 85918
38 23 86116
38 27 86402
20 34 87829
26 32 88128
27 12 88404
36 29 88666
36 15 89147
38 31 90192
33 30 90490
34 26 90840
33 4 91217
34 24 91217
18 24 91583
10 3 92218
12 38 92505
15 1 93687
37 28 94040
40 18 94141
10 13 94721
15 37 94791
38 16 94837
36 32 94991
22 37 95235
37 17 95681
6 4 96142
17 34 96724
17 16 96990
34 22 97595
28 32 98048
18 23 98167
20 9 98793
40 10 98828
23 15 99797
30 16 100320
38 10 100759
16 4 101047
4 15 101098
24 12 101147
13 24 101765
24 27 102730
19 20 102745
6 19 103523
17 27 103768
26 18 104115
16 14 104282
15 14 104333
38 20 104415
19 16 104635
11 34 104643
17 8 104845
15 34 105517
7 16 105995
15 19 107025
40 33 110291
34 16 111423
24 8 111614
23 7 111835
5 26 113331
18 8 113461
15 3 113562
7 9 113890
25 15 115226
13 28 115314
18 12 115934
13 15 116065
13 22 116509
40 6 116670
32 33 116825
16 37 117322
1 6 117449
27 22 117947
20 2 118272
5 20 118440
5 17 119055
29 31 119821
15 7 120789
38 11 121229
32 6 121750
33 34 121876
3 24 121996
3 29 122028
17 36 123329
7 1 123864
32 11 124011
28 30 124383
21 14 124384
28 1 125704
26 2 125988
31 32 126146
19 21 127076
26 17 127131
29 6 128075
3 32 128353
33 27 128920
30 25 129176
31 12 129808
25 4 129903
8 33 129997
36 18 130346
21 9 131028
31 19 131510
27 3 132815
14 25 133138
9 11 133327
25 19 133491
22 18 134598
24 23 134661
34 7 134670
25 7 134851
23 6 134944
3 34 135071
27 6 135299
9 31 135462
37 7 135966
39 29 136447
10 25 136570
22 24 136743
4 11 136756
7 29 137897
23 31 137980
31 30 138164
13 16 138596
37 39 138764
31 4 138891
14 11 139991
8 31 140275
25 34 140279
12 33 140464
1 21 141002
31 26 141627
31 14 142126
39 32 142772
11 1 143301
17 24 143776
29 25 143861
15 21 143933
27 7 144053
38 6 144841
37 25 146178
32 21 146757
12 6 146843
14 2 147171
7 38 148154
28 23 148210
12 20 149040
7 13 149224
34 39 149490
19 3 149987
32 25 150186
39 14 150466
2 6 150527
5 6 150586
37 21 150765
2 9 151476
16 24 151493
3 38 151657
19 39 153158
3 30 154688
33 17 155828
3 1 156009
10 35 156258
40 31 157965
10 22 158544
14 3 158650
7 5 159340
11 18 159366
12 21 159813
27 28 159830
1 2 161450
31 18 161501
6 17 162207
20 36 163452
13 21 164023
33 36 164471
18 33 164830
39 38 166076
39 40 166305
27 25 167606
10 33 169517
32 2 169544
7 2 169818
22 33 170007
33 23 171101
18 7 171583
26 21 171632
11 23 174173
40 3 174489
8 3 174732
6 10 174959
5 28 175117
6 24 175307
22 6 176386
31 17 176452
18 39 177231
16 22 177498
23 3 178515
17 25 178524
6 20 178615
12 3 178702
36 28 180389
7 22 182801
22 28 184641
21 24 184722
39 27 184934
20 21 185145
7 31 185457
21 17 185760
13 2 186810
33 6 187359
11 10 188816
38 2 188842
33 15 189311
17 28 189721
5 11 189746
20 16 189791
16 21 192078
25 2 193371
16 6 193462
20 31 194607
24 11 195860
33 7 196113
39 12 196478
5 2 196926
22 21 199939
5 39 200221
21 35 204094
31 22 204373
20 7 204689
22 25 206354
39 10 206681
16 28 206728
28 11 209409
11 15 210160
28 31 211544
11 16 213887
21 3 214807
3 22 214946
35 3 215995
3 16 216421
35 4 216962
6 28 219798
3 6 221557
33 11 226519
15 39 228025
39 28 228170
31 33 228654
35 37 229705
31 39 232263
31 21 232507
32 35 233713
31 6 235033
35 40 236036
7 11 239313
3 11 239714
35 12 242742
6 39 243373
35 28 245170
35 13 250979
21 2 253048
35 8 253209
35 38 253619
39 11 254133
39 3 257579
11 2 276899
35 23 277399
2 35 287025
16 35 293088
35 6 313104
Case #207: 238
4 8 1111
18 2 2861
20 3 4753
11 8 6569
21 12 6796
3 17 7586
4 11 7680
21 5 10400
5 23 11608
20 17 12339
3 9 13219
12 5 17196
9 20 17972
14 7 20189
9 17 20805
23 21 22008
24 9 23268
4 20 27677
20 8 28788
23 12 28804
21 16 28857
4 6 32792
23 13 33699
16 12 35653
24 3 36487
16 5 39257
17 4 40016
11 3 40110
6 11 40472
8 17 41127
17 5 42096
9 14 42558
24 17 44073
21 9 44254
13 7 44356
23 22 44987
5 13 45307
4 9 45649
18 14 46232
9 8 46760
13 10 47465
11 17 47696
20 18 48897
3 5 49682
23 16 50865
9 12 51050
20 2 51758
17 21 52496
11 9 53329
3 18 53650
23 17 53704
5 9 54654
21 13 55707
3 14 55777
3 2 56511
5 22 56595
21 3 57473
20 12 58465
17 12 59292
12 2 59458
6 20 60469
20 14 60530
17 18 61236
3 23 61290
21 20 62226
12 18 62319
13 12 62503
9 7 62747
3 12 63218
14 17 63363
17 2 64097
13 14 64545
3 6 65222
24 14 65826
23 20 66043
21 2 66254
9 23 66262
18 9 66869
21 22 66995
21 24 67522
7 2 69282
8 24 70028
19 18 70679
6 17 72808
9 16 73111
17 19 73386
19 2 73540
12 1 73752
22 12 73791
24 12 74318
3 7 75966
18 4 76574
24 11 76597
2 5 76654
6 24 77685
8 18 77685
24 5 77922
23 7 78055
9 6 78441
22 13 78686
8 2 80546
7 20 80719
3 19 80972
23 10 81164
17 16 81353
5 4 82112
5 8 83223
7 17 83552
18 11 84254
20 15 85260
20 19 85725
7 24 86015
12 4 86142
16 3 86330
11 2 87115
12 8 87253
17 13 87403
14 4 88207
2 23 88262
23 24 89530
7 5 89663
5 11 89792
4 21 89903
3 15 90013
24 18 90137
1 5 90948
8 21 91014
16 20 91083
23 18 91123
7 10 91821
2 24 92998
14 12 93608
12 11 93822
19 9 94191
13 3 94989
16 2 95111
16 22 95852
14 11 95887
24 16 96379
5 14 97212
17 15 97599
16 18 97972
20 13 99742
13 9 99961
21 7 100063
23 11 101400
23 1 102556
19 8 102927
9 15 103232
19 4 104038
3 22 106277
7 12 106859
2 1 107758
7 4 108396
18 6 109366
19 11 109496
7 8 109507
12 10 109968
18 13 110777
22 20 111030
9 22 111249
14 10 112010
4 15 112937
13 2 113638
8 15 114048
18 22 114616
6 5 114904
5 19 115482
16 14 115669
11 7 116076
14 19 116911
11 15 116953
6 14 117347
19 24 117459
2 22 117477
4 16 118760
12 6 118934
8 16 119871
6 21 122695
22 7 123042
13 24 123229
9 1 124802
19 21 125882
10 22 126151
16 11 126440
24 15 126500
23 6 126512
23 19 127090
4 13 127419
13 8 128530
16 7 128920
10 16 132029
12 19 132678
17 1 133044
15 18 134157
17 10 134868
13 11 135099
13 1 136255
19 6 136830
3 1 136970
15 2 137018
4 22 138707
5 15 139695
22 8 139818
6 13 141514
3 10 142454
12 15 143725
6 15 145729
15 14 145790
11 22 146387
10 20 147207
9 10 147426
21 15 147486
1 24 148070
15 23 151303
6 16 151552
19 16 154739
14 1 156851
4 1 159894
19 13 160789
1 8 161005
10 2 161103
7 15 165979
24 10 170694
19 15 170985
22 6 171499
10 4 174884
16 15 176343
7 1 177040
1 19 181298
10 11 182564
10 1 183720
1 15 185896
6 10 188979
1 6 192686
22 15 196290
19 10 208254
10 15 232467
Case #208: 243
34 21 380
27 2 3968
9 6 4710
30 32 9778
6 5 11722
10 8 12672
6 19 14349
11 32 15291
33 12 15837
8 13 26286
37 6 32735
19 13 33919
5 13 38201
32 24 40114
6 33 40607
6 13 48268
9 11 50735
12 13 51249
24 29 52034
11 6 55445
2 28 57480
8 16 58562
19 8 60205
4 7 61195
38 21 64617
14 3 66330
5 11 67167
25 9 69863
38 14 70663
32 5 71432
39 37 72094
8 6 74554
8 12 77535
6 24 77659
29 25 78880
3 18 79432
33 39 79966
37 30 82667
16 34 84131
16 13 84848
23 30 85318
3 25 86164
16 15 88339
4 29 88858
37 15 89564
14 39 90841
19 24 92008
32 37 92445
5 40 92926
24 21 93593
24 4 93762
38 6 94363
12 17 95943
26 37 97134
40 19 97208
33 32 100317
31 40 101133
30 29 101926
12 24 102429
40 6 104648
14 7 104907
38 5 106085
6 31 106128
25 7 106543
29 11 107439
19 38 108712
17 5 108991
17 28 109942
25 23 109959
7 6 110226
37 24 110394
7 3 111319
39 4 111658
40 13 111978
40 14 114947
30 25 115085
33 25 115180
37 20 115191
19 26 115915
26 14 116665
31 5 117850
5 26 118147
25 11 120598
17 6 120713
25 13 122841
16 5 123049
7 26 123289
8 30 124486
9 29 124983
17 9 125423
33 28 125738
29 18 126024
9 15 127009
16 25 128578
6 29 129693
10 34 130021
3 29 130786
12 31 130898
24 18 130928
18 6 131822
32 8 134264
7 12 134996
12 16 136097
20 5 136204
40 38 136658
10 30 137158
25 39 137376
31 37 138863
39 24 140462
16 37 140657
29 5 141415
29 33 141609
21 8 142404
9 3 142911
32 40 143056
28 19 143161
25 4 145024
16 38 148368
4 11 149167
33 7 150833
22 9 153548
6 14 153644
13 31 154396
29 12 154463
21 23 154786
7 13 158494
39 17 160072
1 9 160754
40 15 161477
39 15 161658
28 25 161897
4 5 162739
7 8 162749
14 37 162935
20 25 164572
13 3 164680
10 24 164885
31 8 166847
4 19 167021
22 31 167131
12 4 167193
17 2 167422
13 21 167668
9 36 168111
23 16 168502
36 34 168793
31 39 168931
22 5 169980
37 2 169996
17 27 171390
6 4 171421
34 15 172470
22 19 172607
26 38 173077
16 29 173200
17 8 173478
23 3 173587
11 26 174930
27 4 175147
17 40 175821
17 11 176158
18 26 177316
2 33 177868
12 2 177961
14 13 180123
28 7 180244
17 32 180423
17 18 181254
33 36 182219
16 14 182497
3 26 182995
16 30 183048
28 31 184342
17 3 185256
2 8 187080
28 40 189779
16 20 190468
25 1 192737
22 23 193644
1 39 195403
27 10 195784
23 36 198787
19 27 199259
28 8 199961
11 35 202398
20 15 204755
20 29 205232
11 28 206046
21 28 206724
24 20 210136
11 1 211489
24 28 212811
17 7 213141
36 30 213333
15 3 214187
18 35 215781
36 38 217873
2 25 219377
2 14 219745
10 1 221481
32 36 223111
25 22 223411
14 27 223713
17 16 227670
28 18 228902
35 12 231885
17 29 232608
8 22 232812
31 2 236472
1 34 237184
3 20 237275
15 29 239045
2 38 239167
9 35 242107
27 40 245877
4 36 246300
35 6 246817
40 35 247215
14 15 252499
21 35 253116
31 35 255690
36 29 257102
11 2 258176
35 7 259788
21 2 264204
2 24 264941
36 26 264967
7 1 266270
27 32 266409
27 24 268909
22 18 269590
3 22 274352
35 39 275918
17 22 278971
27 18 284364
2 1 294375
1 27 298343
4 1 298467
22 20 306184
35 10 306632
1 22 314302
22 36 321659
16 35 337627
Case #209: 137
14 16 10625
12 10 10991
9 3 12151
18 5 18729
16 6 25271
4 3 25786
18 1 32778
14 6 35896
16 15 37680
4 9 37937
18 13 39747
15 14 48305
11 6 50986
1 2 51240
5 1 51507
19 16 57212
13 5 58476
16 12 61867
15 6 62951
19 14 67837
14 12 72492
1 13 72525
10 16 72858
18 15 76143
10 18 81540
11 19 82927
14 10 83483
1 4 83613
15 1 84623
5 4 86570
6 12 87138
12 11 87582
18 11 88108
12 18 92531
2 15 94605
5 15 94872
19 15 94892
11 1 96588
6 10 98129
10 11 98573
7 16 98892
10 2 100002
10 5 100269
18 4 105299
11 2 106570
11 5 106837
8 19 106865
19 5 108878
3 1 109399
14 7 109517
2 12 110993
12 5 111260
18 16 113823
1 10 114318
15 13 115890
9 5 116276
8 17 118866
12 19 119079
14 8 119849
16 1 122303
2 4 123761
6 7 124163
18 14 124448
12 1 125309
6 13 126255
19 18 127607
11 13 127855
19 10 130070
9 10 130088
16 8 130474
12 13 132278
16 2 132285
5 16 132552
9 18 135005
15 7 136572
8 6 138806
6 18 139094
5 6 140819
9 12 141079
3 10 142227
2 14 142910
14 5 143177
19 2 146069
1 6 147574
8 3 149312
16 13 151526
3 12 153218
11 8 156189
9 8 157290
2 6 157556
19 13 158196
19 1 160385
12 7 160759
11 4 165503
16 4 165811
10 4 168013
15 8 168154
15 4 168236
13 3 170832
9 13 174752
4 12 179004
11 17 188009
3 16 191597
8 12 192341
4 19 195448
3 14 202222
9 16 202946
8 10 203332
11 9 203440
17 10 204932
7 18 212715
16 17 213724
5 8 215743
17 12 215923
3 6 216868
1 7 221195
3 19 221234
9 19 225154
19 17 225731
7 8 229366
7 2 231177
5 7 231444
8 18 234472
6 17 238995
13 7 250418
5 17 250991
18 17 252187
8 1 252777
2 8 252934
4 7 264703
13 8 265061
17 3 268178
17 9 276156
17 13 291934
4 17 293964
7 9 301838
17 7 312616
Case #210: 50
24 29 2894
10 30 244172
42 47 280741
32 5 311929
1 24 317074
27 33 321461
45 9 324238
32 8 324609
19 43 366674
34 29 368251
17 45 369579
10 8 374907
28 29 385813
35 43 390477
29 14 401463
32 45 424346
40 39 443441
3 45 446257
21 20 447827
41 44 451636
47 13 457442
29 36 468511
8 30 468691
11 39 502532
21 16 511245
5 39 512655
7 47 528578
47 4 537716
45 39 539362
